DATE,RIDE,ALIGHT
2021-01-01,968534,960036
2021-01-02,1535446,1533715
2021-01-03,1168769,1172821
2021-01-04,3455939,3450914
2021-01-05,3464498,3456386
2021-01-06,3628215,3582674
2021-01-07,3692397,3685018
2021-01-08,3456335,3445230
2021-01-09,1901096,1890723
2021-01-10,1254968,1253443
2021-01-11,3514134,3507776
2021-01-12,3806570,3768764
2021-01-13,3703939,3698384
2021-01-14,3653984,3647939
2021-01-15,3687980,3679040
2021-01-16,2156686,2145856
2021-01-17,1400200,1401540
2021-01-18,3787153,3782718
2021-01-19,3686257,3678060
2021-01-20,3858048,3849761
2021-01-21,3786883,3775091
2021-01-22,3884431,3876032
2021-01-23,2372854,2365890
2021-01-24,1615372,1615500
2021-01-25,3867734,3862984
2021-01-26,3843650,3834550
2021-01-27,3982700,3974785
2021-01-28,3873578,3867255
2021-01-29,3835604,3825107
2021-01-30,2400176,2391542
2021-01-31,1649874,1650712
2021-02-01,3928712,3923080
2021-02-02,3935945,3927203
2021-02-03,4098132,4080405
2021-02-04,4052857,4049887
2021-02-05,4129121,4123964
2021-02-06,2535419,2527957
2021-02-07,1725587,1721614
2021-02-08,4048222,4039752
2021-02-09,4096912,4087530
2021-02-10,3905043,3894932
2021-02-11,1461380,1434947
2021-02-12,993781,992817
2021-02-13,1657371,1666932
2021-02-14,1632746,1638996
2021-02-15,3882669,3880243
2021-02-16,4054541,4048614
2021-02-17,3993300,3983970
2021-02-18,4030134,4023266
2021-02-19,4237506,4233419
2021-02-20,2745518,2741529
2021-02-21,1908991,1907862
2021-02-22,4132151,4128565
2021-02-23,4161730,4153652
2021-02-24,4211807,4204389
2021-02-25,4185191,4179730
2021-02-26,4339593,4336892
2021-02-27,2858042,2852075
2021-02-28,2070575,2069998
2021-03-01,1659667,1658586
2021-03-02,4174216,4171303
2021-03-03,4251395,4245609
2021-03-04,4231787,4226586
2021-03-05,4451820,4449762
2021-03-06,2887944,2879830
2021-03-07,2016249,2013471
2021-03-08,4188238,4186324
2021-03-09,4274479,4267364
2021-03-10,4316362,4313253
2021-03-11,4274046,4269758
2021-03-12,4403042,4400362
2021-03-13,2958517,2950937
2021-03-14,2037147,2035746
2021-03-15,4183946,4182584
2021-03-16,4270991,4267306
2021-03-17,4337220,4333430
2021-03-18,4324152,4322138
2021-03-19,4517202,4515181
2021-03-20,2721062,2712049
2021-03-21,2060800,2057941
2021-03-22,4216597,4214484
2021-03-23,4326834,4324182
2021-03-24,4351355,4347411
2021-03-25,4379837,4377295
2021-03-26,4535132,4536030
2021-03-27,2777033,2766524
2021-03-28,1876202,1873421
2021-03-29,4221712,4221446
2021-03-30,4350881,4348729
2021-03-31,4416845,4415637
2021-04-01,4391365,4388453
2021-04-02,4535128,4534642
2021-04-03,2532304,2520458
2021-04-04,2049373,2045352
2021-04-05,4289456,4287670
2021-04-06,4372935,4371218
2021-04-07,4335068,4330791
2021-04-08,4352297,4346660
2021-04-09,4485721,4483535
2021-04-10,3004343,2996085
2021-04-11,2086338,2084688
2021-04-12,4106324,4099599
2021-04-13,4272762,4265408
2021-04-14,4319384,4312710
2021-04-15,4311799,4307756
2021-04-16,4293982,4292156
2021-04-17,2802982,2794148
2021-04-18,2017853,2015539
2021-04-19,4173090,4170486
2021-04-20,4301653,4297690
2021-04-21,4328442,4324050
2021-04-22,4292717,4290158
2021-04-23,4401271,4400508
2021-04-24,2903209,2893546
2021-04-25,2048635,2046798
2021-04-26,4238239,4237149
2021-04-27,4304630,4299007
2021-04-28,4342403,4337834
2021-04-29,4348063,4343518
2021-04-30,4467004,4466713
2021-05-01,2702536,2688357
2021-05-02,2119082,2115751
2021-05-03,4296839,4295833
2021-05-04,4260267,4252488
2021-05-05,2491854,2485638
2021-05-06,4365254,4364543
2021-05-07,4387287,4377884
2021-05-08,2580635,2564358
2021-05-09,2093891,2103692
2021-05-10,4185603,4186539
2021-05-11,4410258,4407959
2021-05-12,4433192,4431337
2021-05-13,4412229,4411414
2021-05-14,4582813,4581588
2021-05-15,2862226,2852359
2021-05-16,1719385,1715242
2021-05-17,4188062,4188443
2021-05-18,4549931,4549121
2021-05-19,2654539,2648365
2021-05-20,4284765,4282315
2021-05-21,4442018,4442026
2021-05-22,3065771,3060779
2021-05-23,2094205,2094283
2021-05-24,4287425,4286737
2021-05-25,4332661,4332380
2021-05-26,4424834,4423896
2021-05-27,4243806,4245487
2021-05-28,4350419,4354225
2021-05-29,2927186,2920273
2021-05-30,2123840,2121118
2021-05-31,4175167,4177932
2021-06-01,4266397,4267698
2021-06-02,4319461,4318369
2021-06-03,4185517,4177139
2021-06-04,4493572,4499213
2021-06-05,2983236,2975801
2021-06-06,2039094,2040192
2021-06-07,4171944,4174639
2021-06-08,4283415,4283711
2021-06-09,4306422,4303893
2021-06-10,4309582,4305056
2021-06-11,4308287,4308532
2021-06-12,2889649,2881233
2021-06-13,1998420,1996791
2021-06-14,4195448,4195189
2021-06-15,4232684,4232666
2021-06-16,4375191,4373729
2021-06-17,4348527,4347254
2021-06-18,4385229,4387547
2021-06-19,3039166,3030938
2021-06-20,2099968,2100262
2021-06-21,4344931,4347012
2021-06-22,4415706,4414036
2021-06-23,4421299,4417814
2021-06-24,4460515,4460776
2021-06-25,4592624,4594325
2021-06-26,2935387,2929705
2021-06-27,2129900,2128533
2021-06-28,4273647,4274283
2021-06-29,4401347,4396888
2021-06-30,4386692,4384768
2021-07-01,4414782,4412534
2021-07-02,4537296,4537011
2021-07-03,2756777,2742742
2021-07-04,1777617,1777524
2021-07-05,4341024,4341010
2021-07-06,4427904,4427168
2021-07-07,4277407,4271836
2021-07-08,4136358,4131889
2021-07-09,4147432,4141228
2021-07-10,2396704,2383433
2021-07-11,1595908,1597707
2021-07-12,3718139,3713778
2021-07-13,3724902,3719072
2021-07-14,3685339,3679966
2021-07-15,3631566,3624698
2021-07-16,3702065,3692484
2021-07-17,2182566,2170151
2021-07-18,1498154,1500040
2021-07-19,3638791,3635008
2021-07-20,3719928,3713889
2021-07-21,3678386,3671820
2021-07-22,3632533,3624117
2021-07-23,3714372,3704053
2021-07-24,2177871,2162323
2021-07-25,1471657,1472960
2021-07-26,3625150,3621370
2021-07-27,3645692,3639001
2021-07-28,3629482,3622761
2021-07-29,3584694,3582276
2021-07-30,3649660,3641077
2021-07-31,2142812,2130386
2021-08-01,1465559,1469204
2021-08-02,3437328,3436246
2021-08-03,3500896,3494651
2021-08-04,3531396,3524429
2021-08-05,3619389,3613725
2021-08-06,3659710,3649986
2021-08-07,2282803,2270625
2021-08-08,1549999,1550725
2021-08-09,3703189,3698695
2021-08-10,3763334,3757926
2021-08-11,3740522,3734974
2021-08-12,3718799,3711341
2021-08-13,3753898,3746568
2021-08-14,2332190,2319519
2021-08-15,1690735,1688146
2021-08-16,2195173,2199958
2021-08-17,3821937,3813739
2021-08-18,3803511,3799590
2021-08-19,3862663,3859535
2021-08-20,3919434,3913336
2021-08-21,2168737,2158022
2021-08-22,1737883,1739288
2021-08-23,3779575,3773406
2021-08-24,3781548,3773510
2021-08-25,3940253,3933516
2021-08-26,3930039,3922786
2021-08-27,3912922,3906835
2021-08-28,2578658,2569506
2021-08-29,1804905,1806571
2021-08-30,3921468,3919889
2021-08-31,3832213,3819833
2021-09-01,3917504,3911139
2021-09-02,3954652,3950853
2021-09-03,4116131,4111785
2021-09-04,2721679,2713199
2021-09-05,1909510,1912379
2021-09-06,3984772,3978364
2021-09-07,3834363,3826510
2021-09-08,4087634,4083040
2021-09-09,4063194,4059581
2021-09-10,4160705,4157999
2021-09-11,2814676,2807126
2021-09-12,1994357,1993794
2021-09-13,4042511,4043337
2021-09-14,4099052,4097192
2021-09-15,4188861,4184765
2021-09-16,4177038,4173594
2021-09-17,4206727,4199685
2021-09-18,2530754,2516360
2021-09-19,1786674,1772561
2021-09-20,1426756,1411428
2021-09-21,1107924,1112848
2021-09-22,1698737,1708368
2021-09-23,3806417,3812529
2021-09-24,4063087,4064420
2021-09-25,2671387,2665971
2021-09-26,1891878,1891597
2021-09-27,4052939,4051498
2021-09-28,4077649,4072445
2021-09-29,3944322,3940456
2021-09-30,4124342,4125711
2021-10-01,4235510,4230074
2021-10-02,2826306,2817009
2021-10-03,2070990,2068570
2021-10-04,2281765,2281229
2021-10-05,4107592,4108937
2021-10-06,4077366,4077680
2021-10-07,4108719,4107765
2021-10-08,4222920,4220367
2021-10-09,2671387,2664918
2021-10-10,1926172,1920454
2021-10-11,2470806,2469329
2021-10-12,4183585,4183977
2021-10-13,4237211,4235596
2021-10-14,4207826,4205213
2021-10-15,4261411,4260163
2021-10-16,2951680,2940055
2021-10-17,1995240,1990819
2021-10-18,4057143,4055493
2021-10-19,4162759,4159104
2021-10-20,4298965,4294553
2021-10-21,4242148,4241535
2021-10-22,4362237,4364574
2021-10-23,3067036,3059432
2021-10-24,2167834,2165315
2021-10-25,4215911,4218881
2021-10-26,4327872,4328910
2021-10-27,4373620,4372543
2021-10-28,4348969,4348110
2021-10-29,4466171,4468954
2021-10-30,3183919,3181099
2021-10-31,2287184,2287843
2021-11-01,4260570,4267881
2021-11-02,4374918,4377953
2021-11-03,4421827,4427009
2021-11-04,4408563,4415654
2021-11-05,4568374,4582401
2021-11-06,3255453,3257542
2021-11-07,2338648,2340078
2021-11-08,4094468,4098433
2021-11-09,4298147,4299786
2021-11-10,4484068,4490166
2021-11-11,4480793,4486180
2021-11-12,4553076,4565451
2021-11-13,3210474,3213426
2021-11-14,2265758,2264132
2021-11-15,4277672,4283377
2021-11-16,4412134,4417163
2021-11-17,4464219,4475411
2021-11-18,4389759,4396432
2021-11-19,4557213,4574014
2021-11-20,3183556,3186823
2021-11-21,2234007,2233861
2021-11-22,4315479,4318859
2021-11-23,4395893,4399968
2021-11-24,4438156,4443727
2021-11-25,4479553,4489334
2021-11-26,4580148,4594332
2021-11-27,3167936,3174511
2021-11-28,2258736,2259391
2021-11-29,4317481,4325537
2021-11-30,4201279,4205591
2021-12-01,4370801,4373054
2021-12-02,4334684,4337490
2021-12-03,4481499,4494356
2021-12-04,2967339,2968271
2021-12-05,2076969,2076791
2021-12-06,4202863,4210000
2021-12-07,4282953,4288841
2021-12-08,4283484,4289427
2021-12-09,4249230,4255280
2021-12-10,4317288,4332175
2021-12-11,2863000,2866705
2021-12-12,2019603,2018039
2021-12-13,4046287,4049843
2021-12-14,4188823,4190963
2021-12-15,4235357,4240238
2021-12-16,4241526,4250146
2021-12-17,4319162,4325646
